0.9082,0.90625,0.91455,0.91211,0.91113,0.90869,0.91309,0.9165,0.93945,1.0137,1.2095,0.84961,0.33887,0.27881,0.17578,0.07959,0.83643,0.45215,-0.60449,-0.62012,-0.31445,-0.5918,-0.66699,-0.47266,0.37012,0.375,0.22119,-0.072754,-0.058594,-0.05127,-0.066406,-0.077637,-0.089355,-0.10791,-0.11963,-0.12012,-0.1167,-0.11768,-0.10205,-0.066406,-0.049805,-0.066895,-0.069336,-0.082031,-0.098145
-0.33838,-0.34033,-0.33594,-0.34229,-0.33643,-0.34473,-0.33838,-0.3418,-0.36865,-0.38184,-0.91992,-1.0107,-0.70508,-0.72998,-0.77002,-0.79199,-0.87158,-1.1333,-1.0537,-1.1733,-1.2383,-1.1792,-1.1816,-1.1001,-0.84131,-0.82031,-0.87988,-1.0356,-1.0186,-1.0449,-1.0547,-1.0425,-1.0498,-1.0278,-1.02,-0.96338,-0.99512,-1.0288,-1.0234,-1.0371,-1.0391,-1.0293,-1.041,-1.0361,-1.0225
-0.13965,-0.13428,-0.14209,-0.13086,-0.13818,-0.14209,-0.14746,-0.1377,-0.1543,-0.21045,0.086914,0.23584,0.19531,0.18994,0.15771,0.11865,0.44385,0.65967,-0.28125,-0.40332,0.078613,-0.56836,-0.53955,-0.68604,0.97021,0.38037,0.036621,0.14551,0.12451,0.12744,0.12256,0.11279,0.12061,0.11182,0.13525,0.13232,0.12842,0.13477,0.13184,0.1416,0.14551,0.1416,0.14355,0.13428,0.14404
0.91797,0.92285,0.91504,0.91455,0.91162,0.91406,0.91357,0.9165,0.94141,0.99023,1.2134,1.0679,0.57324,0.33154,0.33643,0.45264,0.18701,-0.146,-0.22656,-0.27344,-0.25732,-0.24365,-0.13623,-0.15625,-0.16992,-0.17041,-0.17139,-0.19531,-0.2207,-0.2207,-0.26807,-0.26074,-0.24023,-0.229,-0.19873,-0.2124,-0.2168,-0.21387,-0.17725,-0.21387,-0.2168,-0.25586,-0.25391,-0.23389,-0.24463
0.35693,0.3623,0.36279,0.35938,0.36035,0.36182,0.35742,0.35693,0.36816,0.37061,0.47559,0.8374,0.87354,0.71289,0.7832,0.88623,0.90527,0.92578,0.9165,0.84326,0.83936,0.83594,0.92383,0.95313,1.0093,1.0933,1.0459,1.1064,1.0405,0.95605,0.91895,0.88281,0.87158,0.9165,0.94238,1.0034,1.0581,1.0161,1.0068,1.022,0.99902,0.96436,0.91846,0.87451,0.93018
-0.12109,-0.11719,-0.12207,-0.12451,-0.125,-0.12158,-0.12158,-0.11719,-0.12305,-0.13281,-0.054199,0.094238,0.11133,0.076172,0.10205,0.10254,0.17529,0.040039,0.089844,0.045898,0.029297,-0.015625,0.071777,0.065918,0.026855,0.015625,0.023926,-0.0078125,-0.011719,0.025879,0.019531,0.036621,0.059082,0.043945,0.077637,0.079102,0.095703,0.094238,0.10596,0.062988,0.077637,0.055176,0.070313,0.085938,0.10303
-1,2,0,1,0,0,0,-1,-1,-5,3,2,7,-2,-2,-1,5,-4,-5,1,-7,-2,-1,1,1,-3,-2,0,-1,2,-2,1,1,1,0,-6,2,1,1,-1,0,-1,-1,-3,0
-2,-2,-2,-1,0,0,-1,-2,0,-5,1,2,9,0,-4,-2,0,-5,-1,1,-3,-2,-1,1,0,-1,0,0,-1,-2,-1,0,0,-1,-1,0,-2,-2,-2,-3,-1,1,-3,-3,1
-2,0,0,-3,0,-1,-1,-2,-2,-12,19,-10,36,7,1,11,-4,-5,-2,1,2,-2,-1,-5,-1,-6,15,1,-3,-6,3,-1,-1,3,-7,8,-10,1,-3,-4,-1,4,-3,-5,1
-1,0,-3,1,-2,-2,1,-2,0,-12,0,-2,10,4,0,3,-5,-5,-7,-5,0,-6,-1,-11,11,-12,1,-2,-4,-25,1,-4,12,0,-12,6,-9,-3,-2,-6,13,1,-5,-6,2
