0.89502,0.89063,0.90283,0.89844,0.89697,0.89404,0.89795,0.89746,0.89844,0.88965,0.90869,0.87598,0.90771,0.88574,0.91016,0.9043,0.87744,0.89893,0.91797,0.90381,0.89844,0.89209,0.89453,0.88965,0.9126,0.89551,0.89795,0.88867,0.896,0.89844,0.89307,0.8877,0.89502,0.89844,0.89551,0.89844,0.89258,0.896,0.90381,0.896,0.896,0.90088,0.88916,0.90527,0.89697
-0.41699,-0.41309,-0.41357,-0.41113,-0.40723,-0.40479,-0.40869,-0.39941,-0.41553,-0.4043,-0.40869,-0.39941,-0.40723,-0.39844,-0.41504,-0.40625,-0.40771,-0.41602,-0.40234,-0.40674,-0.41553,-0.42139,-0.40283,-0.41016,-0.4292,-0.4043,-0.41943,-0.39893,-0.42041,-0.3999,-0.41309,-0.41162,-0.41748,-0.4165,-0.41455,-0.41406,-0.41211,-0.42334,-0.41309,-0.41748,-0.41064,-0.41357,-0.37793,-0.40576,-0.40674
-0.037109,-0.044922,-0.04248,-0.049316,-0.044434,-0.04248,-0.037109,-0.048828,-0.041016,-0.041016,-0.04834,-0.030273,-0.040527,-0.029297,-0.042969,-0.036621,-0.038574,-0.029297,-0.035645,-0.033203,-0.024902,-0.036621,-0.029785,-0.023926,-0.0083008,-0.031738,-0.029785,-0.025391,-0.021973,-0.03125,-0.035156,-0.025391,-0.029785,-0.030762,-0.024902,-0.027344,-0.029785,-0.030273,-0.035645,-0.032227,-0.03125,-0.028809,-0.032227,-0.0058594,-0.028809
0.85059,0.85791,0.85693,0.84863,0.84814,0.85693,0.86133,0.94727,0.90771,1.0098,0.68359,0.61084,0.17529,0.16797,-0.027832,-0.39404,-0.29248,-0.23047,-0.36377,-0.36719,-0.58252,-0.35449,-0.5835,-0.76709,-0.42627,-0.50098,-0.53027,-0.52246,-0.48975,-0.46729,-0.49219,-0.47705,-0.47754,-0.46973,-0.4751,-0.47607,-0.47803,-0.46094,-0.48389,-0.43408,-0.2417,-0.13721,-0.2998,-0.13184,0.23145
0.47412,0.45752,0.46826,0.46484,0.46924,0.46582,0.47949,0.48926,0.6709,0.7666,0.89453,0.9624,0.76318,1.0049,0.96436,0.84619,0.77637,0.76465,0.81543,0.86572,0.90967,0.79639,0.66211,1.1606,0.68213,0.81836,0.90381,0.90625,0.88379,0.87061,0.89404,0.88574,0.88184,0.87305,0.88867,0.87061,0.86572,0.88428,0.87207,0.87451,0.94189,0.69287,0.64355,0.75635,0.78906
-0.18652,-0.18652,-0.19189,-0.17822,-0.18848,-0.18408,-0.17773,-0.1665,-0.10742,-0.032715,0.013184,0.11621,0.018066,0.104,0.25732,0.069824,0.15381,0.18262,0.095215,0.069336,0.019043,0.08252,-0.14404,-0.039551,-0.034668,-0.11084,-0.046387,-0.058105,-0.056641,-0.067871,-0.060059,-0.069824,-0.071289,-0.060547,-0.04541,-0.064453,-0.064453,-0.058105,-0.05957,-0.047363,0.018555,0.016602,0.043945,0.12891,0.074707
0,-2,-2,2,-2,-1,0,-1,-3,0,2,0,-2,1,1,-3,2,-1,1,-3,0,2,0,-2,3,0,2,1,1,0,3,3,-4,-1,0,-3,2,0,-3,-2,-1,-1,-10,-2,0
-1,-2,-2,0,-1,-1,0,1,-1,-1,1,0,0,1,-6,1,0,0,-3,-2,0,0,0,-2,-2,0,0,-2,-1,-3,0,0,-1,-2,0,-2,-1,-1,-2,2,-4,0,-4,-1,-1
0,1,-2,-1,-1,0,-1,1,-1,0,0,0,-1,0,-2,-2,-1,-2,-1,0,-4,-1,1,-1,-2,0,-1,-2,-1,-1,-2,0,-2,-1,0,-1,-1,-1,-1,1,0,-1,0,1,0
-1,0,-3,0,0,-2,0,-1,-1,0,-1,0,0,0,-3,-2,-1,0,-2,0,1,0,-3,0,-2,1,-2,-1,0,1,-1,0,-1,-1,1,-2,0,0,-1,0,-1,-1,-1,0,0
0,-1,-1,-2,1,0,-2,-1,1,-2,-1,-1,-1,-1,2,-3,-2,0,0,-1,-2,0,0,-1,0,-1,-2,0,0,-1,-2,1,-1,-1,-1,-3,-2,1,-1,-1,-2,-1,-2,-2,0
-2,0,0,-1,1,-1,-1,-1,1,-3,-2,0,-2,-4,1,-3,0,-3,-3,1,0,-1,-1,1,-1,-1,-3,0,1,3,0,-1,-2,-2,-3,-8,-3,0,-1,0,-2,0,-5,-1,-1
2,-1,6,-8,-2,-5,-2,5,1,3,-7,-1,2,0,0,0,0,-6,-9,2,-2,-5,7,9,-10,-1,-4,5,0,5,-2,3,-1,1,-2,-11,-10,0,0,15,-3,-4,-8,-1,0
-1,-1,1,-1,-4,-3,1,-1,0,0,-3,-3,2,0,0,-2,1,-1,-1,0,-3,-2,0,2,1,2,0,7,0,3,0,0,1,-1,-3,-8,1,5,-3,4,-2,2,-2,1,-1
2,-4,-1,-1,-2,-10,0,3,1,-14,3,-2,1,-4,-3,-8,9,10,-24,-23,-53,-24,-34,-12,-16,-59,27,12,58,-6,52,-36,11,-8,38,-21,-14,22,-21,-15,-19,8,-3,2,0
0,1,-1,-1,-1,-2,-2,-1,2,1,-6,-1,-10,2,-2,-6,0,6,-10,-19,-72,1,-43,33,-30,-19,-8,5,-2,-7,2,-2,-8,0,-6,-4,-13,-1,-1,-5,-21,2,1,3,-2
-2,1,0,1,-3,-1,-1,-1,-3,-3,-3,-5,5,2,-5,-8,0,5,-9,-12,-19,-22,-44,19,-10,8,-12,-5,-13,-2,3,-2,0,6,-4,1,-10,-2,-5,-4,-15,1,1,-1,-1
1,-1,-1,0,-2,0,1,-1,-5,-5,1,0,-2,0,-5,-13,-1,1,-10,-14,-9,-34,-10,4,9,24,-8,-10,-18,5,-3,-2,-6,15,-2,5,-7,2,-5,0,-6,-2,0,0,0
0,0,-2,-2,-1,-1,1,0,-4,-4,1,-1,3,-1,-2,-2,-16,-20,-11,-3,-12,-13,-7,-2,1,17,-5,-7,-4,-3,1,0,-3,3,-2,2,-1,1,-2,-1,-3,-2,-1,-2,0
-2,-2,-1,-1,-1,-2,0,-2,-2,-1,1,-2,2,-2,-3,-31,1,46,-29,-2,-2,-6,-3,-11,-3,2,-7,-4,1,-1,-5,0,1,0,-2,0,-1,4,-2,-1,9,-1,7,2,-2
-4,-2,-1,1,1,0,-1,-2,2,2,-4,-3,-5,-10,2,-12,1,15,-8,-2,5,4,-24,-1,-12,-5,-10,-2,7,-3,-5,5,4,0,-1,0,-1,7,-8,-1,-16,2,3,-2,-2
2,-2,-2,-3,-2,-10,3,3,-4,-5,-1,-4,-12,-13,-13,-3,11,37,-34,-11,-25,2,27,46,-59,-57,-18,-48,53,-9,5,-6,30,-4,22,-6,-13,17,-24,-11,-15,6,1,24,4
0.0625,1.5,0.8125,-0.0625,-1.3125,1.1875,0.4375,-0.4375,3.4375,-0.4375,-1,-5.1875,1,0.8125,5.5,1.4375,-6.3125,0.5,5.5625,6.375,1.8125,1.9375,0.4375,-0.4375,-5.625,-0.4375,-1.5625,-1.875,-1.5,-1.375,0.75,-0.375,0.125,-0.375,1.1875,-0.1875,0.1875,-0.6875,-1.0625,-1.3125,-0.25,0.75,11.313,2,-1.375
